products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Marca Bootie,https://www.revolve.com/dolce-vita-marca-bootie/dp/DOLC-WZ892/?d=Womens&page=1&lc=26&itrownum=3&itcurrpage=1&itview=05,Dolce Vita,$60,$150,"Suede upper with man made sole
Back zipper closure
Stacked heel with metal trim
Heel measures approx 1.75"" H
Imported
Revolve Style No. DOLC-WZ892
Manufacturer Style No. DV0578C-6B",Tan Suede,,western,block,suede
Franky Heel,https://www.revolve.com/dolce-vita-franky-heel/dp/DOLC-WZ891/?d=Womens&page=1&lc=33&itrownum=5&itcurrpage=1&itview=05,Dolce Vita,$85,$150,"Snake embossed leather with man made sole
Ankle strap with buckle closure
Heel measures approx 3.5"" H
Imported
Revolve Style No. DOLC-WZ891
Manufacturer Style No. DJ20A0120",White,,open back,block,snake
Abie Bootie,https://www.revolve.com/dolce-vita-abie-bootie/dp/DOLC-WZ886/?d=Womens&page=1&lc=34&itrownum=5&itcurrpage=1&itview=05,Dolce Vita,$124,$200,"Croc embossed leather upper with man made sole
Pull on styling
Elasticized side gussets
Silver cap toe
Heel measures approx 2.25"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. DOLC-WZ886
Manufacturer Style No. DV0824-12A",Black,,western,block,crocc
Shanta Bootie,https://www.revolve.com/dolce-vita-shanta-bootie/dp/DOLC-WZ897/?d=Womens&page=1&lc=45&itrownum=8&itcurrpage=1&itview=05,Dolce Vita,$80,$132,"Stretch faux suede upper with man made sole
Back zipper closure
Pointed toe
Heel measures approx 2.5"" H
Revolve Style No. DOLC-WZ897
Manufacturer Style No. DV0560-1",Grey,,western,block,suede
Bel Bootie,https://www.revolve.com/dolce-vita-bel-bootie/dp/DOLC-WZ883/?d=Womens&page=1&lc=50&itrownum=9&itcurrpage=1&itview=05,Dolce Vita,$85,$150,"Leather upper and sole
Side zipper closure
Snakeskin embossed heel
Heel measures approx 2"" H
Imported
Revolve Style No. DOLC-WZ883
Manufacturer Style No. BEL",black,,generic low block,block,leather
Vidal Bootie,https://www.revolve.com/dolce-vita-vidal-bootie/dp/DOLC-WZ884/?d=Womens&page=1&lc=52&itrownum=9&itcurrpage=1&itview=05,Dolce Vita,$77,$170,"Suede upper with man made sole
Back zipper closure
Heel measures approx 3.5"" H
Shaft measures approx 5.25"" H
Imported
Revolve Style No. DOLC-WZ884
Manufacturer Style No. DV0559C-2C1",Black,,generic low block,block,suede
Hurston Boot,,Dr. Martens,,,"Leather upper with oil-resistant rubber sole
Pull-on styling
Elastic side gussets
Heel measures approx 4"" H
Imported
Revolve Style No. DMAR-WZ274
Manufacturer Style No. R23932600",black,$150,heeled hiker,block,leather
Barclay Ankle Boot,https://www.revolve.com/free-people-barclay-ankle-boot/dp/FREE-WZ188/?d=Womens&page=1&lc=86&itrownum=18&itcurrpage=1&itview=05,Free People,$76,$168,"Snakeskin embossed leather upper with leather sole
Pull-on styling
Stacked heel measures approx 3.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. FREE-WZ188
Manufacturer Style No. OB949764",Brown Combo,,western,block,snake
Friday Night Platform Boot,,Free People,$111,$198,"Leather upper and sole
Side zip closure
Heel measures approx 4"" H
Platform measures approx 2""H
Made in Portugal
Revolve Style No. FREE-WZ180
Manufacturer Style No. OB995553",Tan,,retro block,block,leather
Barclay Ankle Boot,,Free People,$96,$168,"Crinkle leather upper with leather sole
Pull-on styling
Heel measures approx 3.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. FREE-WZ186
Manufacturer Style No. OB949764",Black,,western,block,leather
